VERTEX_ID, WORLD_X, WORLD_Y, WORLD_Z, SCREEN_X, SCREEN_Y, DEPTH
284, 30.81, -1041.82, -3.15, 1268.39, 1019.84, 195.8254
285, 29.18, -1042.58, -3.15, 1282.68, 1022.39, 194.2555
286, 27.56, -1043.33, -3.15, 1297.21, 1025.00, 192.6855
287, 25.93, -1044.09, -3.15, 1311.97, 1027.64, 191.1154
288, 24.31, -1044.85, -3.15, 1326.97, 1030.33, 189.5452
289, 22.83, -1045.69, -3.15, 1342.95, 1032.80, 188.1231
290, 21.36, -1046.54, -3.15, 1359.23, 1035.30, 186.7115
291, 19.89, -1047.38, -3.15, 1375.75, 1037.83, 185.2988
292, 18.44, -1048.24, -3.15, 1392.60, 1040.35, 183.9136
293, 17.36, -1049.25, -3.15, 1410.76, 1042.22, 182.8988
294, 16.27, -1050.26, -3.15, 1429.11, 1044.13, 181.8764
295, 15.17, -1051.27, -3.15, 1447.65, 1046.07, 180.8461
296, 14.71, -1052.43, -3.15, 1466.15, 1046.81, 180.4563
297, 14.44, -1053.63, -3.15, 1484.64, 1047.18, 180.2647
298, 14.14, -1054.82, -3.15, 1503.25, 1047.60, 180.0450
299, 14.82, -1055.99, -3.15, 1517.61, 1046.17, 180.7948
300, 15.69, -1057.16, -3.15, 1531.03, 1044.39, 181.7337
301, 16.54, -1058.33, -3.15, 1544.46, 1042.68, 182.6525
302, 17.79, -1059.37, -3.15, 1554.15, 1040.26, 183.9631
303, 19.39, -1060.29, -3.15, 1560.58, 1037.26, 185.6142
304, 20.98, -1061.21, -3.15, 1566.94, 1034.32, 187.2618
305, 22.58, -1062.13, -3.15, 1573.24, 1031.44, 188.9060
306, 24.16, -1063.06, 67.31, 1565.80, 55.26, 194.8488
307, 22.58, -1062.13, 67.31, 1559.59, 49.76, 193.2075
308, 20.98, -1061.21, 67.31, 1553.32, 44.15, 191.5633
309, 19.39, -1060.29, 67.31, 1546.98, 38.44, 189.9158
310, 17.79, -1059.37, 67.31, 1540.57, 32.61, 188.2646
311, 16.54, -1058.33, 67.31, 1531.01, 27.91, 186.9540
312, 15.69, -1057.16, 67.31, 1517.83, 24.57, 186.0352
313, 14.82, -1055.99, 67.31, 1504.65, 21.13, 185.0963
314, 14.14, -1054.82, 67.31, 1490.58, 18.36, 184.3465
315, 14.44, -1053.63, 67.31, 1472.42, 19.17, 184.5662
316, 14.71, -1052.43, 67.31, 1454.37, 19.88, 184.7578
317, 15.17, -1051.27, 67.31, 1436.32, 21.32, 185.1476
318, 16.27, -1050.26, 67.31, 1418.27, 25.09, 186.1779
319, 17.36, -1049.25, 67.31, 1400.41, 28.79, 187.2003
320, 18.44, -1048.24, 67.31, 1382.71, 32.43, 188.2151
321, 19.89, -1047.38, 67.31, 1366.31, 37.33, 189.6003
322, 21.36, -1046.54, 67.31, 1350.24, 42.25, 191.0130
323, 22.83, -1045.69, 67.31, 1334.39, 47.10, 192.4246
324, 24.31, -1044.85, 67.31, 1318.83, 51.91, 193.8467
325, 25.93, -1044.09, 67.31, 1304.22, 57.15, 195.4169
326, 27.56, -1043.33, 67.31, 1289.84, 62.30, 196.9870
327, 29.18, -1042.58, 67.31, 1275.70, 67.36, 198.5570
328, 30.81, -1041.82, 67.31, 1261.77, 72.35, 200.1268
329, 32.46, -1041.07, 67.31, 1248.13, 77.36, 201.7289
330, 34.12, -1040.32, 67.31, 1234.71, 82.30, 203.3348
331, 35.78, -1039.58, 67.31, 1221.50, 87.17, 204.9408
332, 37.44, -1038.83, 67.31, 1208.49, 91.96, 206.5467
333, 39.06, -1038.04, 67.31, 1195.17, 96.54, 208.1071
334, 40.65, -1037.22, 67.31, 1181.81, 100.99, 209.6466
335, 42.25, -1036.41, 67.31, 1168.65, 105.38, 211.1856
336, 43.85, -1035.59, 67.31, 1155.67, 109.70, 212.7241
337, 45.26, -1034.63, 67.31, 1141.36, 113.45, 214.0747
338, 46.63, -1033.63, 67.31, 1126.82, 117.00, 215.3739
339, 47.99, -1032.62, 67.31, 1112.44, 120.50, 216.6679
340, 49.04, -1031.47, 67.31, 1096.79, 123.09, 217.6344
341, 49.71, -1030.13, 67.31, 1079.65, 124.66, 218.2260
342, 50.36, -1028.79, 67.31, 1062.56, 126.14, 218.7861
343, 49.97, -1027.39, 67.31, 1045.98, 124.87, 218.3052
344, 49.21, -1025.97, 67.31, 1029.50, 122.63, 217.4632
345, 48.41, -1024.56, 67.31, 1013.11, 120.24, 216.5704
346, 46.73, -1023.56, 67.31, 1002.40, 115.55, 214.8419
347, 45.06, -1022.55, 67.31, 991.53, 110.78, 213.1092
348, 43.38, -1021.55, 67.31, 980.52, 105.91, 211.3724
349, 41.69, -1020.56, 67.31, 969.42, 100.95, 209.6310
350, 39.97, -1019.68, 67.31, 959.66, 95.82, 207.8614
351, 38.25, -1018.80, 67.31, 949.75, 90.61, 206.0915
352, 36.53, -1017.93, 67.31, 939.66, 85.30, 204.3212
353, 35.07, -1016.95, 67.31, 927.93, 80.70, 202.8100
354, 33.77, -1015.92, 67.31, 915.21, 76.48, 201.4469
355, 32.71, -1014.86, 67.31, 901.68, 72.97, 200.3228
356, 32.16, -1013.71, 67.31, 886.62, 71.00, 199.6993
